ID,Name,Team,Number,Birth Year,Birth Month,Birth Day,Position,Pitching Hand,Underhand,Batting Hand,Height (cm),Weight (kg),Career,Contract Payment,Payment Unit,Salary,Salary Unit,Draft Year,Draft Team,Draft Detail,Joined Year,Joined Team,Data Errors
70738,이상현,한화 이글스,27.0,1976.0,12.0,11.0,Outfielder,Right,False,Right,183.0,92.0,휘문고-중앙대,2000.0,만원,1800.0,만원,,,,0.0,한화,"Draft (18, 19, 20):    "
70749,서도원,한화 이글스,49.0,1977.0,8.0,25.0,Pitcher,Right,False,Right,187.0,83.0,경북고-영남대,3000.0,만원,1700.0,만원,,,,0.0,한화,"Draft (18, 19, 20):    "
70750,허진석,한화 이글스,37.0,1981.0,7.0,19.0,Pitcher,Right,True,Right,181.0,73.0,덕수정보고,,,1700.0,만원,,,,0.0,한화,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70754,장재혁,한화 이글스,42.0,1976.0,3.0,16.0,Pitcher,Right,False,Right,182.0,82.0,대전고-홍익대,2500.0,만원,2000.0,만원,,,,0.0,한화,"Draft (18, 19, 20):    "
70755,조규수,두산 베어스,43.0,1981.0,9.0,15.0,Pitcher,Right,False,Right,183.0,82.0,천안남산초-천안북중-북일고-(목원대)-한화,28000.0,만원,2800.0,만원,0.0,한화,1차,10.0,두산,
70756,이범호,KIA 타이거즈,25.0,1981.0,11.0,25.0,Infielder,Right,False,Right,183.0,96.0,대구수창초-경운중-대구고-한화,11000.0,만원,65000.0,만원,0.0,한화,2차 1라운드 8순위,0.0,한화,
70763,박성진,한화 이글스,63.0,1977.0,8.0,30.0,Pitcher,Left,False,Left,180.0,78.0,부산고-경희대-상무,2000.0,만원,1500.0,만원,,,,0.0,한화,"Draft (18, 19, 20):    "
70766,방진호,한화 이글스,0.0,1977.0,7.0,27.0,Infielder,Right,False,Right,179.0,78.0,동산고-경남대,2000.0,만원,2000.0,만원,,,,0.0,한화,"Draft (18, 19, 20):    "
70802,손석만,롯데 자이언츠,42.0,1981.0,4.0,19.0,Catcher,Right,False,Right,187.0,93.0,강릉고-SK,6500.0,만원,1800.0,만원,,,,0.0,SK,"Draft (18, 19, 20):    "
70806,장재명,SK 와이번스,6.0,1972.0,5.0,25.0,Infielder,Right,False,Right,175.0,75.0,군산상고-연세대-현대 피닉스,,,2000.0,만원,,,,0.0,SK,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70814,신주일,SK 와이번스,14.0,1977.0,9.0,18.0,Infielder,Right,False,Right,177.0,73.0,광주진흥고-중앙대,3000.0,만원,2200.0,만원,,,,0.0,SK,"Draft (18, 19, 20):    "
70815,김교욱,SK 와이번스,15.0,1981.0,8.0,16.0,Pitcher,Right,False,Right,183.0,82.0,청원정보고,2500.0,만원,1500.0,만원,,,,0.0,SK,"Draft (18, 19, 20):    "
70819,김민환,SK 와이번스,19.0,1977.0,5.0,27.0,Pitcher,Right,False,Right,177.0,80.0,광주제일고-경희대,,,1800.0,만원,,,,0.0,SK,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70820,이승호,상무,81.0,1981.0,9.0,9.0,,Left,False,Left,176.0,90.0,군산남초-군산남중-군산상고-SK-롯데-NC-SK,16000.0,만원,7000.0,만원,0.0,쌍방울,1차,0.0,SK,
70831,뮬렌,SK 와이번스,31.0,1967.0,6.0,23.0,Infielder,Right,False,Right,193.0,96.0,네덜란드 플로리다코랄대,30000.0,달러,80000.0,달러,0.0,SK,자유선발,0.0,SK,
70832,배홍철,SK 와이번스,61.0,1982.0,2.0,24.0,Pitcher,Right,False,Right,182.0,75.0,경남상고,10000.0,만원,1800.0,만원,,,,0.0,SK,"Draft (18, 19, 20):    "
70833,채종범,NC 다이노스,88.0,1977.0,12.0,3.0,,Right,False,Right,180.0,85.0,용지초-마산동중-마산고-연세대-SK-KIA,,,8000.0,만원,96.0,쌍방울,2차 12라운드 82순위,0.0,SK,"Contract Payment (14, 15):    "
70834,브리또,한화 이글스,0.0,1972.0,5.0,28.0,Infielder,Right,False,Right,183.0,82.0,도미니카 산이시드로고-SK-삼성-SK,,,,,0.0,SK,자유선발,0.0,SK,"Contract Payment (14, 15): 3만달러   Salary (16, 17): 9만6천달러   "
70837,혼즈,SK 와이번스,37.0,1970.0,11.0,2.0,Outfielder,Right,False,Left,182.0,85.0,미국 노스캐롤라이나 센트럴대,,,,,0.0,SK,자유선발,0.0,SK,"Contract Payment (14, 15): 2만달러   Salary (16, 17): 7만달러   "
70838,조병찬,SK 와이번스,38.0,1977.0,5.0,17.0,Outfielder,Left,False,Left,182.0,85.0,전주고-영남대-쌍방울,4300.0,만원,1900.0,만원,,,,0.0,SK,"Draft (18, 19, 20):    "
70839,신승현,LG 트윈스,37.0,1983.0,8.0,13.0,Pitcher,Right,True,Right,193.0,102.0,금평초-전주동중-전주고-(전남과학대)-SK-KIA,,,10000.0,만원,0.0,쌍방울,2차 11라운드 81순위,0.0,SK,"Contract Payment (14, 15):    "
70840,콜,두산 베어스,32.0,1968.0,1.0,23.0,Pitcher,Right,False,Right,178.0,84.0,미국 산타클라라대,,,,,0.0,SK,자유선발,0.0,SK,"Contract Payment (14, 15): 2만달러   Salary (16, 17): 8만달러   "
70851,김형규,SK 와이번스,51.0,1980.0,9.0,8.0,Pitcher,Left,False,Left,178.0,67.0,청주기공고,,,1300.0,만원,,,,0.0,SK,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
